,Geo_FIPS,SE_T093_001,SE_T058_010,ratio10,ratio00
0,36005000100,0.0,,,0.0
1,36005000200,42539.0,25441.0,0.42282570759028737,0.8374643173540702
2,36005000400,39013.0,19620.0,0.3260815370041051,0.7680480362240378
3,36005001600,24552.0,29565.0,0.49136598580664465,0.48335466089182005
4,36005002000,14691.0,2499.0,0.041533015340125316,0.28922138005709225
5,36005002300,14112.0,2499.0,0.041533015340125316,0.2778226203366473
6,36005002400,0.0,,,0.0
7,36005002500,12221.0,11063.0,0.1838654456613871,0.24059454670735309
8,36005002701,12898.0,,,0.25392263018013583
9,36005002702,12654.0,,,0.24911900777635593
10,36005002800,34234.0,50729.0,0.8431085775066894,0.6739639728319716
11,36005003100,27330.0,,,0.5380450831774781
12,36005003300,11322.0,,,0.2228959543262132
13,36005003500,18736.0,,,0.36885520228368934
14,36005003700,23750.0,,,0.4675657052859533
15,36005003800,47647.0,29191.0,0.48515016038159187,0.9380253962004135
16,36005003900,15893.0,6875.0,0.11426149678405824,0.31288512648882766
17,36005004001,29545.0,44318.0,0.7365586930146754,0.581651737375726
18,36005004100,12970.0,,,0.2553400925287922
19,36005004300,19434.0,,,0.3825967122748302
20,36005004400,13185.0,,,0.2595727925976966
21,36005004600,17976.0,,,0.3538930997145388
22,36005004800,19023.0,24844.0,0.41290365470591167,0.3745053647012501
23,36005005200,13826.0,,,0.2721921448961512
24,36005005400,21282.0,,,0.41897824589034355
25,36005005600,12604.0,,,0.24813465892312236
26,36005005902,33256.0,37031.0,0.6154498163506125,0.6547101092627227
27,36005006000,30242.0,,,0.5953735603898022
28,36005006100,30469.0,,,0.5998425041834826
29,36005006200,16314.0,,,0.32117334383305446
30,36005006400,35279.0,53750.0,0.8933171566753644,0.6945368638645536
31,36005006500,17457.0,2499.0,0.041533015340125316,0.3436755586179742
32,36005006700,17353.0,8828.0,0.1467200717977696,0.34162811300324836
33,36005006800,25966.0,,,0.5111920464612659
34,36005006900,10576.0,9837.0,0.16348950456214995,0.2082094694359681
35,36005007000,32146.0,40417.0,0.671724642257641,0.6328575647209371
36,36005007100,36316.0,,,0.7149522590806182
37,36005007200,31126.0,16000.0,0.26591766524289917,0.6127768481149719
38,36005007300,21545.0,9408.0,0.15635958716282472,0.4241559208583522
39,36005007400,40654.0,,,0.8003543655871641
40,36005007500,20813.0,20227.0,0.3361697884292576,0.4097450536470125
41,36005007700,21958.0,,,0.4322866423860616
42,36005007800,34353.0,31875.0,0.5297578487260882,0.6763067231026676
43,36005007900,14767.0,,,0.2907175903140073
44,36005008300,25886.0,12955.0,0.2153102095763599,0.5096170882960921
45,36005008400,39911.0,250001.0,4.154980139274377,0.785726941628113
46,36005008500,18403.0,26250.0,0.4362711695391314,0.3622994389211537
47,36005008600,14409.0,,,0.2836696525248548
48,36005008700,19615.0,2499.0,0.041533015340125316,0.3861600551235358
49,36005008900,13007.0,,,0.25606851068018505
50,36005009200,36589.0,56875.0,0.9452542006681182,0.7203268038192735
51,36005009800,38642.0,11406.0,0.18956605561003173,0.7607441677330445
52,36005011000,9461.0,,,0.18625849000885913
53,36005011502,14167.0,,,0.27890540407520426
54,36005011800,57664.0,73571.0,1.2227392843490834,1.13522984545723
55,36005011900,16990.0,,,0.33448174032877254
56,36005012101,21424.0,,,0.42177379663352693
57,36005012102,17688.0,,,0.34822325031991336
58,36005012300,17906.0,71316.0,1.1852615134039124,0.35251501132001184
59,36005012500,27566.0,61750.0,1.026275989296814,0.5426912097647406
60,36005012701,12342.0,37841.0,0.6289118981535342,0.24297667093217837
61,36005012901,13214.0,,,0.2601437149325721
62,36005013000,48500.0,69063.0,1.1478169821668966,0.9548183876365784
63,36005013100,13281.0,13056.0,0.21698881483820573,0.2614627423959051
64,36005013200,54509.0,72471.0,1.204457444863634,1.0731174328181907
65,36005013300,16426.0,,,0.3233782852642977
66,36005013500,14667.0,,,0.2887488926075401
67,36005013800,48813.0,57500.0,0.9556416094666689,0.9609804114578206
68,36005014100,14123.0,,,0.2780391770843587
69,36005014300,8606.0,,,0.16942612461856482
70,36005014400,22656.0,24167.0,0.40165201349532154,0.4460281523772025
71,36005014500,14264.0,,,0.2808150408504774
72,36005014900,14353.0,9750.0,0.16204357725739169,0.2825671818092332
73,36005015100,18448.0,,,0.3631853528890639
74,36005015300,20918.0,,,0.41181218623880306
75,36005015500,17616.0,,,0.346805787971257
76,36005015700,20685.0,,,0.4072251205827345
77,36005015800,33438.0,46146.0,0.7669397862686765,0.658293139088493
78,36005016000,45828.0,60536.0,1.006099486446509,0.9022147849197756
79,36005016100,16308.0,2499.0,0.041533015340125316,0.3210552219706664
80,36005016200,50833.0,79063.0,1.3140155229437085,1.0007481051284575
81,36005016300,0.0,,,0.0
82,36005016400,50733.0,82014.0,1.3630607123269458,0.9987794074219903
83,36005016500,11442.0,,,0.22525839157397382
84,36005016600,41776.0,78224.0,1.300071465372534,0.8224431538537258
85,36005016700,14432.0,,,0.28412245299734223
86,36005016900,16591.0,,,0.3266266364799685
87,36005017100,0.0,,,0.0
88,36005017300,18375.0,,,0.36174820356334286
89,36005017500,14172.0,9457.0,0.1571739600126311,0.2790038389605276
90,36005018400,44167.0,46324.0,0.7698981202945038,0.8695147160153558
91,36005018900,25163.0,100139.0,1.6642955674849176,0.49538340387833446
92,36005019300,13609.0,9107.0,0.15135701108544267,0.2679200708731174
93,36005019400,51705.0,43804.0,0.7280160880187472,1.0179151491288512
94,36005019500,20402.0,21897.0,0.3639249447389852,0.4016537060734324
