Borough,2010 Census FIPS County Code,2010 DCP Borough Code,2010 Census Tract,"Total Occupied Housing Units",census_fips
Bronx,005,2,021501,"1,015",005021501
Bronx,005,2,021502,"1,915",005021502
Bronx,005,2,021601,"1,536",005021601
Bronx,005,2,021602,"2,498",005021602
Bronx,005,2,021700,"1,703",005021700
Bronx,005,2,021800,"2,272",005021800
Bronx,005,2,021900,418,005021900
Bronx,005,2,022000,430,005022000
Bronx,005,2,022101,"1,144",005022101
Bronx,005,2,022102,"1,611",005022102
Bronx,005,2,022200,"1,159",005022200
Bronx,005,2,022300,"1,741",005022300
Bronx,005,2,022401,"1,117",005022401
Bronx,005,2,022403,"1,288",005022403
Bronx,005,2,022404,"1,783",005022404
Bronx,005,2,022500,"2,151",005022500
Bronx,005,2,022701,"1,714",005022701
Bronx,005,2,022702,604,005022702
Bronx,005,2,022703,556,005022703
Bronx,005,2,022800,"2,391",005022800
Bronx,005,2,022901,"1,727",005022901
Bronx,005,2,022902,"1,055",005022902
Bronx,005,2,023000,"1,010",005023000
Bronx,005,2,023100,424,005023100
Bronx,005,2,023200,898,005023200
Bronx,005,2,023301,"1,490",005023301
Bronx,005,2,023302,968,005023302
Bronx,005,2,023501,"1,016",005023501
Bronx,005,2,023502,"1,572",005023502
Bronx,005,2,023600,637,005023600
Bronx,005,2,023702,331,005023702
Bronx,005,2,023703,"1,467",005023703
Bronx,005,2,023704,"1,176",005023704
Bronx,005,2,023800,847,005023800
Bronx,005,2,023900,"2,511",005023900
Bronx,005,2,024000,"1,261",005024000
Bronx,005,2,024100,"1,853",005024100
Bronx,005,2,024300,"1,916",005024300
Bronx,005,2,024400,835,005024400
Bronx,005,2,024501,"1,517",005024501
Bronx,005,2,024502,"1,116",005024502
Bronx,005,2,024600,778,005024600
Bronx,005,2,024700,635,005024700
Bronx,005,2,024800,"1,219",005024800
Bronx,005,2,024900,0,005024900
Bronx,005,2,025000,991,005025000
Bronx,005,2,025100,"2,086",005025100
Bronx,005,2,025200,970,005025200
Bronx,005,2,025300,"1,889",005025300
Bronx,005,2,025400,810,005025400
Bronx,005,2,025500,"2,072",005025500
Bronx,005,2,025600,646,005025600
Bronx,005,2,025700,657,005025700
Bronx,005,2,026100,987,005026100
Bronx,005,2,026300,"2,124",005026300
Bronx,005,2,026400,"2,032",005026400
Bronx,005,2,026500,"2,041",005026500
Bronx,005,2,026601,"1,391",005026601
Bronx,005,2,026602,"2,549",005026602
Bronx,005,2,026701,"1,339",005026701
Bronx,005,2,026702,"2,402",005026702
Bronx,005,2,026900,"1,344",005026900
Bronx,005,2,027300,"2,555",005027300
Bronx,005,2,027401,"1,836",005027401
Bronx,005,2,027402,"1,330",005027402
Bronx,005,2,027600,217,005027600
Bronx,005,2,027700,"1,766",005027700
Bronx,005,2,027900,"2,819",005027900
Bronx,005,2,028100,"1,760",005028100
Bronx,005,2,028300,"1,307",005028300
Bronx,005,2,028400,61,005028400
Bronx,005,2,028500,"1,574",005028500
Bronx,005,2,028600,484,005028600
Bronx,005,2,028700,"1,185",005028700
Bronx,005,2,028800,"1,209",005028800
Bronx,005,2,028900,"1,726",005028900
Bronx,005,2,029301,905,005029301
Bronx,005,2,029302,"2,627",005029302
Bronx,005,2,029500,"2,005",005029500
Bronx,005,2,029600,721,005029600
Bronx,005,2,029700,"1,666",005029700
Bronx,005,2,030000,"2,592",005030000
Bronx,005,2,030100,558,005030100
Bronx,005,2,030200,"4,183",005030200
Bronx,005,2,030701,"2,590",005030701
Bronx,005,2,030900,"1,351",005030900
Bronx,005,2,031000,"1,284",005031000
Bronx,005,2,031200,577,005031200
Bronx,005,2,031400,638,005031400
Bronx,005,2,031600,609,005031600
Bronx,005,2,031800,601,005031800
Bronx,005,2,031900,0,005031900
Bronx,005,2,032300,"2,676",005032300
Bronx,005,2,032400,"1,249",005032400
Bronx,005,2,032600,"1,077",005032600
Bronx,005,2,032800,"1,420",005032800
Bronx,005,2,033000,"2,125",005033000
Bronx,005,2,033201,"1,849",005033201
Bronx,005,2,033202,"1,600",005033202
Bronx,005,2,033400,600,005033400
Bronx,005,2,033500,749,005033500
Bronx,005,2,033600,"2,569",005033600
Bronx,005,2,033700,909,005033700
Bronx,005,2,033800,"1,353",005033800
Bronx,005,2,034000,"1,721",005034000
Bronx,005,2,034200,598,005034200
Bronx,005,2,034300,595,005034300
Bronx,005,2,034400,588,005034400
Bronx,005,2,034500,"1,638",005034500
Bronx,005,2,034800,"2,060",005034800
Bronx,005,2,035000,632,005035000
Bronx,005,2,035100,"1,090",005035100
Bronx,005,2,035600,656,005035600
Bronx,005,2,035800,"2,443",005035800
Bronx,005,2,035900,687,005035900
Bronx,005,2,036000,907,005036000
Bronx,005,2,036100,"2,143",005036100
Bronx,005,2,036300,"2,476",005036300
Bronx,005,2,036400,885,005036400
Bronx,005,2,036501,"1,347",005036501
Bronx,005,2,036502,741,005036502
Bronx,005,2,036700,626,005036700
Bronx,005,2,036800,624,005036800
Bronx,005,2,036901,763,005036901
Bronx,005,2,036902,716,005036902
Bronx,005,2,037000,794,005037000
Bronx,005,2,037100,"1,695",005037100
Bronx,005,2,037200,819,005037200
Bronx,005,2,037300,"1,739",005037300
Bronx,005,2,037400,"1,384",005037400
Bronx,005,2,037504,"1,254",005037504
Bronx,005,2,037600,811,005037600
Bronx,005,2,037800,"1,039",005037800
Bronx,005,2,037900,"1,490",005037900
Bronx,005,2,038000,"1,740",005038000
Bronx,005,2,038100,"2,086",005038100
Bronx,005,2,038200,872,005038200
Bronx,005,2,038301,"1,514",005038301
Bronx,005,2,038302,"1,933",005038302
Bronx,005,2,038500,"1,492",005038500
Bronx,005,2,038600,"2,642",005038600
Bronx,005,2,038700,"1,164",005038700
Bronx,005,2,038800,860,005038800
Bronx,005,2,038900,"1,802",005038900
Bronx,005,2,039000,968,005039000
Bronx,005,2,039100,"2,395",005039100
Bronx,005,2,039200,590,005039200
Bronx,005,2,039300,"3,057",005039300
Bronx,005,2,039400,"1,589",005039400
Bronx,005,2,039500,"1,435",005039500
Bronx,005,2,039600,"1,339",005039600
Bronx,005,2,039700,549,005039700
Bronx,005,2,039800,"1,040",005039800
Bronx,005,2,039901,"1,638",005039901
Bronx,005,2,039902,"1,625",005039902
Bronx,005,2,040100,"1,450",005040100
Bronx,005,2,040302,"1,380",005040302
Bronx,005,2,040303,"1,498",005040303
Bronx,005,2,040304,"1,219",005040304
Bronx,005,2,040400,"1,038",005040400
Bronx,005,2,040501,"1,349",005040501
Bronx,005,2,040502,"2,205",005040502
