,v1,geo_id,violations_norm,medianincome2000,medianincome2010,numpoints,borough,censusfipscountycode,dcpboroughcode,censustract,totaloccupiedhousingunits,v12,v13,county,tract,name,lsad,censusarea,sum2014uc,count,geography,estimatetotalbuilt2010orlater,estimatetotalbuilt2000to2009,estimatetotalbuilt1990to1999,estimatetotalbuilt1980to1989,estimatetotalbuilt1970to1979,estimatetotalbuilt1960to1969,estimatetotalbuilt1950to1959,estimatetotalbuilt1940to1949,estimatetotalbuilt1939orearlier,pre1960,post1960,totalbuilding,ppre1960,ppost1960,building1939to1960,pre1939,building1960to1990,post1990,p1939to1960,p1960to1990,totalestimatehouseholds,medianincomedollarsestimatehouse,medianincomedollarsmarginoferror,estimatetotal,estimatenothispanicorlatinowhite,estimatenothispanicorlatinoblack,estimatenothispanicorlatinoasian,estimatehispanicorlatino,estimatehispanicorlatinowhitealo,estimatehispanicorlatinoblackora,estimatehispanicorlatinoamerican,estimatehispanicorlatinoasianalo,pop,white,black,latino,asian,pblack,pwhite,pasian,merge4,stabilized_pop,platino,mediancbsa2000,mediancbsa2010,ratio10,ratio00,ratio,pincome40,lowincome,gentrification,perchangeincome,gentri_per,pctlincome2014,lowincome2014,viol_norm_new,nychaunits,_merge,violations,violations_pop,violations_units,stabilized,totalprivateunitsoc,medianincome2014,stabilized_norm
904,1699.0,36061003700,0.15800001,81875.0,71914.0,51.0,Manhattan,61.0,1.0,3700.0,1442.0,61003700.0,3.5367546,61.0,3700.0,37.0,Tract,0.15800001,256.0,26.0,"Census Tract 37, New York County, New York",3.0,235.0,0.0,0.0,45.0,255.0,66.0,52.0,894.0,1012.0,538.0,1550.0,0.6529032,0.34709677,118.0,894.0,300.0,238.0,0.076129034,0.19354838,1316.0,100093.0,20888.0,2618.0,2153.0,50.0,223.0,135.0,107.0,0.0,0.0,0.0,2618.0,2153.0,50.0,135.0,0.0,0.019098548,0.82238352,0.0,3.0,0.097784571,0.051566079,50795.0,60169.0,1.1952002,1.6118712,-0.41667104,47280.0,0.0,0.0,-0.12166107,0.0,50139.0,0.0,0.035367545,0,master only (1),51.0,0.019480519,0.035367545,256,1442.0,11.513855,0.17753121
905,1700.0,36061003800,0.078000002,53413.0,53735.0,356.0,Manhattan,61.0,1.0,3800.0,5386.0,61003800.0,6.6097288,61.0,3800.0,38.0,Tract,0.078000002,1880.0,227.0,"Census Tract 38, New York County, New York",0.0,48.0,221.0,242.0,60.0,260.0,228.0,423.0,4262.0,4913.0,831.0,5744.0,0.85532731,0.14467271,651.0,4262.0,562.0,269.0,0.11333565,0.097841226,5048.0,62768.0,7815.0,8407.0,5509.0,431.0,1362.0,841.0,562.0,12.0,0.0,6.0,8407.0,5509.0,431.0,841.0,6.0,0.051266801,0.65528727,0.000713691,3.0,0.22362317,0.10003568,50795.0,60169.0,0.89306784,1.0515405,-0.15847266,47280.0,0.0,0.0,0.0060284948,0.0,50139.0,0.0,0.066097289,0,master only (1),356.0,0.042345665,0.066097289,1880,5386.0,11.0472,0.34905311
906,1701.0,36061003900,0.12899999,73150.0,93445.0,95.0,Manhattan,61.0,1.0,3900.0,2829.0,61003900.0,3.358077,61.0,3900.0,39.0,Tract,0.12899999,339.0,12.0,"Census Tract 39, New York County, New York",42.0,461.0,54.0,46.0,1113.0,69.0,36.0,96.0,1202.0,1334.0,1785.0,3119.0,0.42770118,0.57229882,132.0,1202.0,1228.0,557.0,0.042321257,0.39371595,2515.0,118299.0,45304.0,5155.0,3660.0,173.0,413.0,598.0,337.0,0.0,0.0,48.0,5155.0,3660.0,173.0,598.0,48.0,0.03355965,0.70999032,0.0093113482,3.0,0.065761395,0.11600388,50795.0,60169.0,1.5530423,1.4401023,0.11293995,47280.0,0.0,0.0,0.27744362,0.0,50139.0,0.0,0.033580769,0,master only (1),95.0,0.018428709,0.033580769,339,2829.0,11.68097,0.11983033
907,273.0,36061004000,0.068999998,78810.0,85491.0,283.0,Manhattan,61.0,1.0,4000.0,4252.0,61004000.0,6.6556916,61.0,4000.0,40.0,Tract,0.068999998,1290.0,148.0,"Census Tract 40, New York County, New York",38.0,101.0,0.0,18.0,23.0,198.0,625.0,514.0,3056.0,4195.0,378.0,4573.0,0.91734093,0.082659088,1139.0,3056.0,239.0,139.0,0.24907063,0.052263286,4233.0,91235.0,15480.0,9543.0,7114.0,528.0,1074.0,640.0,469.0,75.0,0.0,10.0,9543.0,7114.0,528.0,640.0,10.0,0.055328514,0.7454679,0.001047889,3.0,0.13517761,0.067064866,50795.0,60169.0,1.4208479,1.5515307,-0.13068283,47280.0,0.0,0.0,0.084773503,0.0,50139.0,0.0,0.066556916,0,master only (1),283.0,0.029655244,0.066556916,1290,4252.0,11.421194,0.30338663
908,1702.0,36061004100,0.074000001,26627.0,60250.0,231.0,Manhattan,61.0,1.0,4100.0,3485.0,61004100.0,6.6284075,61.0,4100.0,41.0,Tract,0.074000001,1698.0,132.0,"Census Tract 41, New York County, New York",0.0,228.0,36.0,159.0,107.0,46.0,147.0,168.0,2876.0,3191.0,576.0,3767.0,0.84709316,0.15290682,315.0,2876.0,312.0,264.0,0.083620921,0.082824528,3312.0,53148.0,10867.0,7581.0,2517.0,107.0,4468.0,359.0,85.0,124.0,0.0,12.0,7581.0,2517.0,107.0,359.0,12.0,0.014114233,0.33201423,0.001582905,3.0,0.22398101,0.047355231,50795.0,60169.0,1.0013462,0.52420515,0.47714108,47280.0,1.0,1.0,1.2627409,1.0,50139.0,0.0,0.066284075,0,master only (1),231.0,0.030470913,0.066284075,1698,3485.0,10.880836,0.48723099
909,1703.0,36061004200,0.033,97050.0,100104.0,28.0,Manhattan,61.0,1.0,4200.0,1652.0,61004200.0,1.6949153,61.0,4200.0,42.0,Tract,0.033,394.0,18.0,"Census Tract 42, New York County, New York",0.0,155.0,79.0,34.0,172.0,595.0,126.0,7.0,633.0,766.0,1035.0,1801.0,0.42531925,0.57468075,133.0,633.0,801.0,234.0,0.07384786,0.4447529,1527.0,141921.0,25598.0,5045.0,3474.0,269.0,944.0,219.0,172.0,17.0,0.0,0.0,5045.0,3474.0,269.0,219.0,0.0,0.053320117,0.68860257,0.0,3.0,0.078097127,0.043409318,50795.0,60169.0,1.6637139,1.9106212,-0.24690723,47280.0,0.0,0.0,0.031468317,0.0,50139.0,0.0,0.016949153,0,master only (1),28.0,0.0055500497,0.016949153,394,1652.0,11.863026,0.23849879
910,274.0,36061004300,0.057999998,65824.0,74619.0,199.0,Manhattan,61.0,1.0,4300.0,2387.0,61004300.0,8.3368244,61.0,4300.0,43.0,Tract,0.057999998,698.0,72.0,"Census Tract 43, New York County, New York",0.0,70.0,168.0,314.0,238.0,88.0,36.0,93.0,1524.0,1653.0,878.0,2531.0,0.65310156,0.34689847,129.0,1524.0,640.0,238.0,0.050967995,0.25286448,2347.0,79345.0,21871.0,4308.0,2554.0,5.0,1004.0,340.0,187.0,1.0,0.0,0.0,4308.0,2554.0,5.0,340.0,0.0,0.001160631,0.59285051,0.0,3.0,0.16202414,0.078922935,50795.0,60169.0,1.2401569,1.2958755,-0.05571866,47280.0,0.0,0.0,0.13361388,0.0,50139.0,0.0,0.083368242,0,master only (1),199.0,0.04619313,0.083368242,698,2387.0,11.281561,0.29241726
911,1704.0,36061004400,0.15800001,88401.0,92273.0,6.0,Manhattan,61.0,1.0,4400.0,8289.0,61004400.0,0.072385088,61.0,4400.0,44.0,Tract,0.15800001,8647.0,1.0,"Census Tract 44, New York County, New York",0.0,0.0,0.0,23.0,32.0,95.0,1011.0,6716.0,404.0,8131.0,150.0,8281.0,0.98188627,0.018113755,7727.0,404.0,150.0,0.0,0.93309987,0.018113755,8014.0,92267.0,7795.0,16735.0,12243.0,536.0,2191.0,1305.0,783.0,0.0,0.0,0.0,16735.0,12243.0,536.0,1305.0,0.0,0.032028683,0.7315805,0.0,3.0,0.51670152,0.07798028,50795.0,60169.0,1.5335639,1.7403485,-0.20678461,47280.0,0.0,0.0,0.04380041,0.0,50139.0,0.0,0.00072385091,0,master only (1),6.0,0.00035853003,0.00072385091,8647,8289.0,11.432442,1.0431898
912,1705.0,36061004500,0.041000001,112500.0,126328.0,9.0,Manhattan,61.0,1.0,4500.0,516.0,61004500.0,1.744186,61.0,4500.0,45.0,Tract,0.041000001,43.0,9.0,"Census Tract 45, New York County, New York",0.0,91.0,0.0,0.0,24.0,0.0,14.0,6.0,453.0,473.0,115.0,588.0,0.80442178,0.19557823,20.0,453.0,24.0,91.0,0.034013607,0.040816326,433.0,139955.0,44320.0,1010.0,739.0,3.0,204.0,23.0,12.0,0.0,0.0,0.0,1010.0,739.0,3.0,23.0,0.0,0.0029702969,0.73168319,0.0,3.0,0.042574257,0.022772277,50795.0,60169.0,2.0995529,2.2147849,-0.11523199,47280.0,0.0,0.0,0.12291556,0.0,50139.0,0.0,0.017441861,0,master only (1),9.0,0.0089108907,0.017441861,43,516.0,11.849076,0.083333336
913,1706.0,36061004700,0.064000003,90547.0,92031.0,99.0,Manhattan,61.0,1.0,4700.0,1441.0,61004700.0,6.8702292,61.0,4700.0,47.0,Tract,0.064000003,313.0,48.0,"Census Tract 47, New York County, New York",0.0,98.0,0.0,0.0,0.0,31.0,40.0,39.0,1390.0,1469.0,129.0,1598.0,0.91927409,0.080725908,79.0,1390.0,31.0,98.0,0.049436796,0.01939925,1341.0,83125.0,24690.0,2397.0,2017.0,0.0,88.0,94.0,78.0,0.0,0.0,0.0,2397.0,2017.0,0.0,94.0,0.0,0.0,0.84146851,0.0,3.0,0.13057989,0.039215688,50795.0,60169.0,1.5295419,1.7825967,-0.25305486,47280.0,0.0,0.0,0.016389279,0.0,50139.0,0.0,0.068702288,0,master only (1),99.0,0.041301627,0.068702288,313,1441.0,11.328101,0.21721028
